comment_id,video_title,author,comment,date,sentiment
Ugz-YmxmGJRt7WrLLTx4AaABAg,Star Wars: The Force Awakens Trailer (Official),StrangeChickandPuppo,and still well up with tear seeing this trailer like i've been on a very long and difficult time away from everything i recognize and lost hope of ever seeing again but i start to see familiar surroundings that clue me in that the idea of actually getting back home is real and getting close,2023-03-16,positive
Ugxsnc8eziJNskp2llN4AaABAg,Andor | Official Trailer | Disney+,Boogie Ondown,this show made me scared of the empire again no more cliched sith lord or imperial year old starship captain talking smack and promising doom but intelligent and dark motivation from real people the rebel are hunted mouse that have to turn into rat to fight back,2023-01-12,positive
UgybBlrk0ESg4ouc_VB4AaABAg,Star Wars: The Force Awakens Trailer (Official),Jose Olvera,the sequel started with so much good will oh man if only we could start over star war skywalker legacy is ruined snd there no way to ever fix it,2023-04-03,negative
Ugw5I1Z9MZH1D76aK1F4AaABAg,Star Wars Episode III: Revenge of the Sith - Trailer,Your average gamer,i remember watching this trailer on a original xbox demo disc,2023-01-08,positive
UgxHe6VvNJReU0CtGQV4AaABAg,Ahsoka | Teaser Trailer | Disney+,Repo MANG,this trailer suck it like theyre hiding a lot theyd never do that,2023-04-25,negative
UgxKZmlVyeneXPN221B4AaABAg,Rogue One: A Star Wars Story Trailer (Official),Mr. Mark,rogue one is so underrated i would rank it right after the a new hope a the best star war movie,2023-01-08,positive
UgwJA71zpxenr7bswyB4AaABAg,Star Wars Episode III: Revenge of the Sith - Trailer,Alex Slusher,i don't know why people are saying this trailer are full of spoiler what do you expect star war empire strike back and return of the jedi had already come out at this time so we all knew that anakin wa going to turn to the darkside and become darth vader we already knew the jedi would be extinct by a new hope,2022-12-07,negative
Ugxpnt2zBN4__CGuzB54AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Valentin Brunet,the music of the trailer is amazing the movie itself on the other hand is insultingly bad,2023-01-02,positive
UgyGOW1CPxhc00RaWr54AaABAg,Ahsoka | Teaser Trailer | Disney+,itsalecsteica,i just hope the rebel are going to be like in the animated show i just finished it and i will be very dissapointed if that's not the case,2023-04-23,positive
Ugziorql843Dn0zmiR94AaABAg,Obi-Wan Kenobi | Official Trailer | Disney+,4321 Snake man,i don't know if we'll get any more season after this but it would be really cool to have cal kestis to make a guest appearance,2023-02-12,positive
Ugx4eom4ENnOdiBdUm14AaABAg,Andor | Official Trailer | Disney+,Eru Iluvataår V.,brilliance an amazing tv series keep up the top notch product,2023-04-22,positive
Ugwd1P7eFKe_PXv6Z6d4AaABAg,Star Wars Episode I: The Phantom Menace - Trailer,Louis Berry,this trailer is better than the movie and is one of the best sw trailer ever made,2022-09-14,positive
UgwDcQaGs9lxaGRLSiN4AaABAg,Star Wars Eclipse – Official Cinematic Reveal Trailer,BakedStreet YT,that trailer suck if it made to advertise a game it only good if it announce a show or a movie lol game in this trailer,2023-04-17,positive
Ugwi3l7CvyaBPInT-7F4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Hugo Ferreira,this gotta be the best trailer ever made most because of the music chill just chill,2022-12-31,positive
UgyvMsUdF1T1Q5kJe6B4AaABAg,Andor | Official Trailer | Disney+,Vincent Valentine,stop calling me roy i may possibly detonate their planet i'am actually the titan,2023-01-11,negative
UgygjXNBt94oK7BMWRJ4AaABAg,Rogue One: A Star Wars Story Trailer (Official),Terranex,even after watching this movie more than a dozen time i get the same chill from this trailer especially the x-wings in the rain with that music at now a i did year ago glorious,2023-01-27,positive
Ugz7Kwzxc6RYCwsu2Dh4AaABAg,Star Wars Episode I: The Phantom Menace - Trailer,DARTH CHOMPA,i dont care about those people who hate and love prequels and sequel starwars is starwars,2022-06-13,negative
UgwZlZls9f26e2ZA9wV4AaABAg,Andor | Official Trailer | Disney+,Sofie Shtn,really good series much better than boba fett which wa just hilarious,2023-02-18,positive
UgyQNvEyVsiEKoZK5b14AaABAg,Star Wars Episode III: Revenge of the Sith - Trailer,Nathan Cady,i see all these comment saying this trailer spoiled the whole movie but did it really going in never having seen the movie but knowing all the info from the previous combined i think this doesnt really spoil anything it not a spoiler seeing palpatine turn anakin to the dark side or seeing all the jedi be slain etc before this movie came out everyone knew that wa gonna happen and this trailer shed a little light on all that it not a spoiler if everyone already know what happened,2023-02-20,neutral
UgxqoqqQmrTLwfll0UJ4AaABAg,Ahsoka | Teaser Trailer | Disney+,Gabriel kinsel,my favorite character just got more cool i grew older and so did ahsoka i cant wait for this journey,2023-04-25,positive
Ugzuw9GaCtbfo0brTQp4AaABAg,Andor | Official Trailer | Disney+,Inked Guy,watching original star war still beat this even with all of today technology talk about bad acting bad make-up bad actor bad script no one in original star war wa british whats with all the british accent suddenly such random dialogue a if they just talking to fill up the minute episode small detail like the kid cassians shoe how can he have perfectly stitched shoe if everything on that plant wa handmade,2023-02-14,negative
UgyClCm3yJ9fwq24Jdt4AaABAg,Star Wars Eclipse – Official Cinematic Reveal Trailer,Jupiter4,is this game playing elden ring cause i don't think it's working that well,2023-04-16,positive
UgwqnR4vXk84Zyi5QQp4AaABAg,Andor | Official Trailer | Disney+,Maurice Watkins,is there such a thing a going too far in the name of a righteous cause,2022-09-24,neutral
Ugwqi3EQBOynJqr0CU54AaABAg,Rogue One: A Star Wars Story Trailer (Official),Matteo Ceccotti,i really didn't like this movie but now after watching and loving andor it might be time to give it another shot,2022-11-18,positive
UgwlLC44nUQzJjGoJJ14AaABAg,The Book of Boba Fett | Official Trailer | Disney+,rick ferguson,so i've watched obi wan the mandalorian andor and thisimafraid this come way behind the other seriesthis one seemed more like a gimmick and a place for trying out actorsany real actor only made cameo,2023-01-12,positive
UgxqqfD9Ma1KJdNtcg14AaABAg,Rogue One: A Star Wars Story Trailer (Official),Walter Corleone,the empire strike back the revenge of the sith and rogue one are the trinity of star war in the movie,2023-01-08,negative
UgzqmJGBVdC-6Rt3CFV4AaABAg,Andor | Official Trailer | Disney+,David Hunter,watching this again today give me retroactive chill what an absolutely superb and frankly perfect show we got if this is a good a it get for sw fan ill gladly take it i dont see anyone else making anything even close to this until season come out it mind boggling we actually got something this well made,2023-03-28,positive
Ugw4ydVItKLG0mJWvXt4AaABAg,Star Wars: The Force Awakens Trailer (Official),StarWarzN3rd,i remember watching this when it came out and i thought this would be incredible and it wa just a shame that the last episode weren't a good,2023-03-22,negative
UgxEqIk-PLdlucWXj314AaABAg,Star Wars Episode III: Revenge of the Sith - Trailer,Andr,bruh wa george lucas high or something literally this is the entire movie in minute,2023-01-26,neutral
Ugzadu5vy5rBueMxI7x4AaABAg,Star Wars: The Force Awakens Trailer (Official),Woodz0504,this trailer is so satisfyingly perfect in every way star war whyd they go ruin it all like they did break my heart,2023-04-10,positive
UgysLNDJFFkFDjXvZQJ4AaABAg,Star Wars Eclipse – Official Cinematic Reveal Trailer,Wiggletoe,how is ha it been month already and were probably still year away from it,2023-04-15,positive
UgzX_5w4MZ22IItdP_F4AaABAg,Andor | Official Trailer | Disney+,THE GARNER COLLECTIVE,just started watching so this explains why england is empty of most people they all went to the andor universe lol everyone so far british and you expect to see a local pub and british drama lol,2023-01-20,positive
UgyA7D_7egql2kMh29h4AaABAg,Andor | Official Trailer | Disney+,Lex Luthor,im honestly glad i never watched any trailer made the series that much better,2023-01-04,positive
Ugz0QWRvW7ejFpjJURB4AaABAg,Ahsoka | Teaser Trailer | Disney+,Mike Bravo,i love asokas character but rosario dawson ha been lackluster with it imo,2023-04-23,positive
Ugwt0njQlizVBMnWCbl4AaABAg,Star Wars Episode I: The Phantom Menace - Trailer,USA-Roy-AL-LORDe-Prince-Orion-,matchup create blood they are fish with organ and green infused symbiotic evolution stem and hair folical created from elmer's glue,2022-05-17,positive
Ugyw86CXJjKWQGw2Rj14AaABAg,The Book of Boba Fett | Official Trailer | Disney+,AGENT SMITH,i did enjoy the show the character were all mostly great and so wa the acting but tbh i did actually prefer the kenobi series i feel like they made boba fett a soft old man not the fearsome bounty hunter he used to be,2022-07-31,positive
UgxM6Wt0R7DwX-Nx0CB4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Cameron Nelson,this soundtrack is a masterclass on how to take a well known theme and alter it slightly to create the feeling of nostalgia,2022-12-19,positive
UgyXNr4ChPRNShAGSsx4AaABAg,Andor | Official Trailer | Disney+,alec cap,boringly slow pointless plot and what's actually going on doesn't work ha no end of money everyone know him and with a storyline that's flat this isn't the best of the clip shown seen episode and and not jazzed enough to watch the rd while ring and dragon are showing,2022-09-25,negative
UgyboqjW55fqpY4fnz54AaABAg,Rogue One: A Star Wars Story Trailer (Official),Juan Pablo Sáenz,i would love to see a director cut with all the deleted scenesi hope they did not destroyed it because it will be the best way to promote andor on disney plus,2022-11-26,positive
Ugwc2HUm6IGCGaaI0094AaABAg,Star Wars Episode III: Revenge of the Sith - Trailer,Homer,anyone else here after watching adedits modern trailer crazy how much better it is make this one look like the unofficial one,2022-12-08,positive
UgwNnvOo00FlzMmS2ll4AaABAg,Andor | Official Trailer | Disney+,HARM0N1C,how am i just now seeing this trailer for the first time after seeing all of the first season such a great show and this is a great trailer,2023-03-04,positive
Ugw__4rH5Vqyh2RYbdV4AaABAg,Star Wars: The Force Awakens Trailer (Official),RogueShadow77,to this day this trailer remains one of the best star war trailer a well a a reminder of what could and should have been good lord how badly they fumbled the bag from here,2023-04-12,positive
UgxfpdtT7vJ-_dFgM094AaABAg,Obi-Wan Kenobi | Official Trailer | Disney+,Howling Burd19,andor is literally everything this shouldve been: a good show but notice how the more disney star war distance themselves from the old character that have been milked to the edge and try to do something fresh the better it is season mandalorian rogue one and fallen order are perfect example,2022-09-30,positive
Ugx9KqFRKdo21nV_gtB4AaABAg,Rogue One: A Star Wars Story Trailer (Official),Rudy,almost year later and i'm still so disappointed they cut the tie fighter/jyn erso stare down scene at the end robbed of a great visual never before seen of a tie fighter just hovering,2023-04-26,negative
UgzhnbI2y5hFKy02XKB4AaABAg,Ahsoka | Teaser Trailer | Disney+,Mateusz Krytyk,please don't be a woke mess please don't be a woke mess please don't be a woke mess please do thrawn right,2023-04-21,positive
Ugzk7kDPgNDcBWdzahF4AaABAg,Obi-Wan Kenobi | Official Trailer | Disney+,N A,wow what an unadulterated piece of garbage poor ewan doe a good job a always but the storyline is trash and moses is a horrible actress,2023-03-20,negative
Ugydlz8vVd8blnE5rG94AaABAg,Obi-Wan Kenobi | Official Trailer | Disney+,Harris Lopez,i had an imagination where this trailer ended when obi wan said hello there lol,2023-03-25,positive
UgwW9_JU0D0LRY6pwf14AaABAg,Star Wars Episode I: The Phantom Menace - Trailer,ackbarfan5556,did anyone go to see meet joe black to watch this (i wa so i didn't),2022-11-24,neutral
UgwCyD3Lape8D6Na39t4AaABAg,Andor | Official Trailer | Disney+,HxZ,nobody talking about that they hade real ak like it weoponds that we use not starwars,2022-10-19,positive
UgxgSfs2s8a6a19zZst4AaABAg,Andor | Official Trailer | Disney+,VintageCR,this is revolutionary by far the best series disney are on a role take note,2023-01-31,positive
UgzW0QPInsNBGRGriJR4AaABAg,Obi-Wan Kenobi | Official Trailer | Disney+,D Piddy 82,back here for another winge another cry of frustration into the ether i saw someone make a really good point about this show on another thread why o'why didn't they centre this show around obi wan trial and tribulation on tatooine so much potential there and make perfect sense you have so many character he could have interacted with or had episodic adventure with jabba boba fett darth maul cantina guest sand people wattothe list go on the fact he left his duty to watch over luke is laughable he should never have left the planet,2022-11-09,positive
Ugz8BNmH0auzInTTU8N4AaABAg,Star Wars Episode III: Revenge of the Sith - Trailer,Alan Mathias,oof it's a good thing i didn't see this trailer before the movie cause it literally spoil the entire movie anyway this is just my favorite star war movie of all time,2022-12-10,positive
UgwWuL_ImRHa4KUaTOt4AaABAg,Andor | Official Trailer | Disney+,Swamp Castle,watched the first it wa good got a very nice rogue vibe i enjoyed it congrats disney you managed to not screw it up this time we'll see if you are successful for the rest of the season finger crossed,2022-09-23,positive
UgwUDG5o8tncn24kPiN4AaABAg,Rogue One: A Star Wars Story Trailer (Official),Emily McGee,this is in my top three this movie gave me the same chill the original did it fantastic,2023-04-08,positive
UgyTUQZVKr0QI5KLcaZ4AaABAg,Andor | Official Trailer | Disney+,Channel name pending,this show can't even hold a candle to the masterpiece of cinema the star war holiday special,2023-01-20,positive
Ugz8Yn-SL1TjeMkDwut4AaABAg,Andor | Official Trailer | Disney+,Melvorgazh,how good is it seems slightly better than obi-wankenobi from this trailer i would guess,2023-03-08,positive
Ugxz4w-zmindNZBQVSx4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Arne Trautmann,just watched the trailer for the first time and wanted to let you know: it's terrible shallow bombast without anything real lot of cgi and movie trope button-pushing,2023-02-13,negative
Ugww7xIOSHHNz6KKjPt4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Stik Kat,i kind of consider the prequels i be non-canon because of how the story is basically a worker redux of the original trilogy and that palpatine just end up existing he just there,2023-04-18,positive
UgyIWze8YkNKVJUkaG54AaABAg,Ahsoka | Teaser Trailer | Disney+,Cassian andor,disney will ruin it like they have all their other show (aside from andor),2023-04-25,negative
Ugy0hSoqeRES8ajoxlN4AaABAg,Ahsoka | Teaser Trailer | Disney+,Shaila Singh,star war luv to wait watching ahsoka mind blowing sci fi movie,2023-04-26,negative
Ugz_1kgLOViWy1NktqN4AaABAg,Obi-Wan Kenobi | Official Trailer | Disney+,Vodena Puška,the show is pretty good but the dialogue between obi-wan and prince leia at some point can and is so pathetic that hurt plus the little girl can't act it's very annoying at some point that's my opinion,2022-10-24,negative
UgzthE1sQK8v5j_bXzZ4AaABAg,Star Wars Episode I: The Phantom Menace - Trailer,James,i wa in th grade when i saw this in the theater and even then thought it wa mediocre but now in id kill for something like this instead of the sewage that is the sequel trilogy and whatever the hell else that's come out,2022-11-21,negative
UgxW0W1GDrX4aP21NdR4AaABAg,Andor | Official Trailer | Disney+,Ott One,power up your delorean get out your flex capacity it's gonna be turned turn i gotta say t delorean,2023-01-26,neutral
UgxZVjoDGqpt5C93VUB4AaABAg,Star Wars: The Force Awakens Trailer (Official),Kore,ngl in heinsight ep wa actually decent just ep wa utter trash,2023-04-14,neutral
UgwrOHTvBaFXbOYhIeJ4AaABAg,Star Wars Eclipse – Official Cinematic Reveal Trailer,Aaron Mccutcheon,this trailer tell me nothing and y'all pumped watch it be a twin stick shooter lol,2023-04-16,positive
UgxcxIZh52xNa3PVgv54AaABAg,Star Wars Episode I: The Phantom Menace - Trailer,Kartik the dragon,for the people who hate the prequels you guy must know that these movie are for kid not for adult,2022-08-21,negative
Ugzk7rL4tZ9NqQ1DBPt4AaABAg,Star Wars Episode I: The Phantom Menace - Trailer,friendly snake,i remember waiting all day to download this trailer with k and realplayer or whatever app it required just to watch this,2022-12-02,neutral
UgzzNfe87CNICdic2f54AaABAg,Ahsoka | Teaser Trailer | Disney+,Dorukhan Kalyoncu,if i don't see the ezra in the show my life will never be completed,2023-04-23,neutral
Ugxs05VPbRSRkT9RP-Z4AaABAg,Andor | Official Trailer | Disney+,Ott One,the thing with the balance and the old day not being about feeding slave cuz it will ramp up and what i wa saying what i'm saying is it be good not to show it in country it's people pretending to be the mafia within the police department we have slave now the un is not so well,2022-09-29,positive
Ugygj6aYNPX4gfcihU94AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,The Force Dragon,i love this trailer so much it give me chill and the nostalgia i miss star war movie,2023-01-30,negative
Ugy4jxDBnJQJODBHR594AaABAg,Star Wars Episode I: The Phantom Menace - Trailer,Sankofa NYC,this wa a great trailer it just left you with so much excitement and mystery every moment generates a who that and what wa that and whoa did you see that especially going in blind after all of the year waiting with this trailer there wa absolutely no way this movie wouldnt be record breaking making maker because you just had to go see this,2023-04-16,positive
UgzblUQphdDKiANrW_F4AaABAg,Andor | Official Trailer | Disney+,WC3Gaming,cant believ how much i enjoed this show more of this type please screw mandalorian and that frog baby this is real star war,2023-03-20,negative
UgwwXWCcSLAg8_MYRrx4AaABAg,Andor | Official Trailer | Disney+,BolinFoto,wonder if he will make it i mean really couldn't they have choosen some other character i mean one that we don't know the fate of ohh i'm so hyped to see if andor can pull this off and get the rebel resistance going what do you think think he will make it :p,2022-09-22,positive
UgzJgYnOV8_MYsJYf3Z4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,YRP Audit,honestly can hollywood stop pandering to female only lol it's getting quite ridic,2023-04-24,positive
UgyZ15714ATGcK-7_B94AaABAg,The Book of Boba Fett | Official Trailer | Disney+,Pete,doe anyone else find this show insanely boring compared to the mandalorian,2022-08-18,negative
UgxAhC6ZI4umJWhOlBB4AaABAg,Rogue One: A Star Wars Story Trailer (Official),Xavier,the cinematographer of this movie clearly know what their doing,2023-02-10,positive
Ugznnb2yFcXw4mG8GI54AaABAg,Star Wars Eclipse – Official Cinematic Reveal Trailer,mr coachray,video game cinematics shouldn't be better than the movie but it is where we are,2023-04-14,negative
Ugzj0WdH8twOdu9Q8nF4AaABAg,Andor | Official Trailer | Disney+,What to Watch,funny disney want you to think they are the rebellion when in fact and in deed they are the empire,2022-09-27,positive
UgyiwCn_OGpchW9Sgvp4AaABAg,Star Wars Eclipse – Official Cinematic Reveal Trailer,Gerard Ompad,imagine a mon calamri elder staring at the camera and softly whispering the word gather the force the sith ha returned,2023-04-17,positive
UgxU9ZxfEmgZJx1KFAZ4AaABAg,Star Wars: The Force Awakens Trailer (Official),Ravemachine productions,i really dont care how bad the movie were i love star war this trailer is epic and the music and the falcon zooming around ooff,2023-04-26,positive
UgwdHsVhe-tki-TusIN4AaABAg,The Book of Boba Fett | Official Trailer | Disney+,Galactic Eternal Hyena,spoiler danger i love this show specially the first four episode they are a real dive-feep in to the tatooine-cultur including the tuskens lifestyle i'm ok with that that almost two ehole episode are to bring in the show din djarin and grogu and some cameo but it's understandable and the final episode is the ultimate war on tatooine real hot star war this show is just wow i really would like to see a second season of the book of boba fett,2023-04-12,negative
UgzG-e5hboanWSbxuAB4AaABAg,Andor | Official Trailer | Disney+,Dave Harrenburg,definitely the weakest of the trailer the music used for the first half is way too overused at this point with the music in the second half being too quiet and not very exciting for a trailer also some of the choice for dialogue are rather misleading (main culprit being at what cost everything) overall just make the show look a bit bland imo and it doesn't help that the other trailer are so great,2022-12-16,negative
UgxKbIbSOKps-A5c5G94AaABAg,Andor | Official Trailer | Disney+,Vomit Inducing Media,who would have expected this show would be the best thing to come from the disney star war stuff,2023-04-10,positive
UgyNNBmKTeJ8pGxKhQ54AaABAg,Andor | Official Trailer | Disney+,Jessie Donner,by far the best thing to come out of sw franchise finally something sw that isn't still stuck in the s/s no more silly one liner overly dramatic music and obnoxious side kick i hope this continues,2022-11-25,positive
Ugxri2g6d00-5nlhwsN4AaABAg,Andor | Official Trailer | Disney+,Walang Account,no wonder it's good it's created by the folk who created rogue one,2023-03-23,positive
Ugxbp-Ai9OYHNjH01P54AaABAg,Andor | Official Trailer | Disney+,The Red Galleon,this is star war for adult and i'm all here for it high stake drama with technical dialogue that doesn't spell thing out for you i appreciate this bold take on star war a lot more than mandalorian,2022-09-25,negative
UgzP910hHhCaD-UdFhx4AaABAg,Ahsoka | Teaser Trailer | Disney+,Christeraja Arullapan,i m recovering from season mandolorianrewatching season while waiting for this,2023-04-25,neutral
Ugxd4odw-w5wolxtui14AaABAg,Rogue One: A Star Wars Story Trailer (Official),LaZy Boi,if only donnie yen played a a jedi the whole starwars universe could've been much more greater instead they made him a blind dude with a stick such a waste of talent tsk,2022-11-28,positive
Ugw2WgBfwgp9f2pgJ_F4AaABAg,Andor | Official Trailer | Disney+,The Dark Knight,episode wa spectacular each episode get better and get better i cant imagine how great the last episode are going to be,2022-11-14,positive
UgwjrmxyqU99CCG8QKF4AaABAg,Star Wars: The Force Awakens Trailer (Official),Miju,i really wish to go back in time and get hyped up with this trailer i really miss those day,2023-04-16,positive
UgxWi-SWFgFqIcQRdxt4AaABAg,Ahsoka | Teaser Trailer | Disney+,Benito Lopez,heir to the empire need luke mara jade everything else is rebel not the original story it caca,2023-04-26,negative
UgxtV6kQ6q55npbPCll4AaABAg,Ahsoka | Teaser Trailer | Disney+,Billy_mcCann02,kathleen kennedy ha ruined star war for me i already hate rebel so like this show better actually be good,2023-04-25,negative
Ugwn01sn1VADYK1hwzl4AaABAg,Star Wars Episode I: The Phantom Menace - Trailer,Thermalburn,i watched the ot about time when i wa a kid i wa year old when my mom took me to see this movie; she got me snack a soda and popcorn then afterwards we went to toy r' u and she let me buy a toy; which obviously ended up being a star war toy we didnt have a lot of money growing up so the fact that she took me on this little bonding day is so much more poignant to me looking back a an adult that wa such an amazing day that i got to spend with my mom i have so much nostalgia for this movie regardless of what it quality might be,2023-04-07,positive
UgxabpoyOSnpI3tfSYF4AaABAg,Star Wars: The Force Awakens Trailer (Official),HYBRID,this trailer showed u so much promise instead it wa more like hey everybody watch star war crash and burn like a shooting star thanks alot disney,2023-03-24,positive
UgxIFd4H0zwKRk6uK114AaABAg,Andor | Official Trailer | Disney+,Roger Melly,over the past few week we have had a marvel show a star war show and show based on lord of the ring and i have not bothered to watch any of them ten year ago that would have seemed unimaginable to me,2022-10-23,neutral
UgwxeFfWd3RuSk0YoWp4AaABAg,Ahsoka | Teaser Trailer | Disney+,Conspiracy Theory,hopefully we atleast get a pic of kanan or even a force ghost,2023-04-24,positive
UgwmlQ-OLzXcV0HlSq54AaABAg,Andor | Official Trailer | Disney+,Vj Avzone,only it not going to be a exciting a this is the real world nwo here we go,2023-01-13,positive
UgxxKDQELVEQyGyVvJl4AaABAg,Andor | Official Trailer | Disney+,abcun17,star war andor put pretty much every other series around including the mediocre house of the dragon and the awful the ring of power to shame in pretty much all aspect message to disney and lucasfilm for whatever it is worth; if you want to aim for something aim for andor in term of the quality of your programming andor is the perfect distillation of what creativity talent imagination and commitment can do too bad few seem to recognize that fact,2022-11-01,positive
UgxP8m7e0XU6xrjWP2l4AaABAg,Star Wars Eclipse – Official Cinematic Reveal Trailer,Richard Kelley,suzuka im going to build you the first galactic empire prepare to reign for year love you your husband emperor richard kelley,2023-04-14,positive
UgxqZb4DbXP9GayYTMl4AaABAg,Star Wars Episode I: The Phantom Menace - Trailer,imashaaark,i remember i wa year old when they released the trailer on the apple website downloading this trailer on a k dial up connection took all day to finish watched it every single day for week,2022-07-01,neutral
UgwyxWq0zeyrg4S8HUF4AaABAg,Andor | Official Trailer | Disney+,Evan the awesome,andor is boring it ha zero action and mando is so much better then andor and the trailer made it cool but it is not,2023-04-02,positive
UgzeYx87bk5xfVO3ltt4AaABAg,Star Wars: The Force Awakens Trailer (Official),Rocky Raidy,whatever your opinion is of this movie love it or hate can we just agree that this trailer is still amazing looking back upon it,2023-04-19,positive
UgwWLO9zIGD7QTRwW6N4AaABAg,Star Wars Episode III: Revenge of the Sith - Trailer,Mari ,this hold the record for the trailer with the most meme in it,2023-04-24,neutral
Ugw65B4NX46ZAjGtqX54AaABAg,Andor | Official Trailer | Disney+,Stand Firm,kevin gate the type of guy i wouldnt approve my sister of dating,2022-12-06,neutral
Ugykh8SFPBVYoWPLNcN4AaABAg,Star Wars Eclipse – Official Cinematic Reveal Trailer,Cr3ePiO,so no idea what the actual game will be imagine it turning out a mobile game full of micro transaction,2023-04-16,negative
UgzrQ32SOnIJqOkfkUZ4AaABAg,Ahsoka | Teaser Trailer | Disney+,Marta Burga,warrior outcast rebel jedi goosebump when done right nothing top star war and this this look incredible,2023-04-23,positive
UgxSyQlbTZJYbvWk43R4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,MrBreakdownBoy,i hate ryan johnson and kathleen kennedy for what they did to this series we can see what amazing storytelling can happen with director like john favreau we can only imagine how this series would have turned out if the episode wa directed by someone who respected the saga's path,2023-04-23,positive
UgzbiNTzQoaTECsUK1N4AaABAg,Obi-Wan Kenobi | Official Trailer | Disney+,lokisg3,those who wondering this is non-canon a the writer been force by disney to make this so call alternate version and most of the writer don't like star war the canon is obi ben kenobi never left the planet and leaving luke alone is far too dangerous,2022-11-08,negative
